,channel,title,description,pub_date,mp3_url,article_url
2616351,Kama Miku,【35】「マジくそヤラセ本物ロシアンルーレット」かまってみくのしんLove you,天気の話→桃鉄の話→マジくそヤラセ本物ロシアンルーレット→マジくそ本物ロシアンルーレット→勉強すすんでる？,2020-11-27,https://omocoro.heteml.net/radio/kamamicu/l35/l35.mp3,https://omocoro.jp/radio/261635/
2625971,Kama Miku,【36】「金の話になるとマジだから」かまってみくのしんLove you,天気の話→みくのしんはなめられている→元ネタ当てっこ,2020-12-04,https://omocoro.heteml.net/radio/kamamicu/l36/l36.mp3,https://omocoro.jp/radio/262597/
2638391,Kama Miku,【37】「寝るたびに俺は死体に近づいている」かまってみくのしんLove you,今日は疲れ切っている→ブチギレてるんだけど→みくのしんのオモコロ特集→20万の買い物→マットレスの思い出→ヨギボーの思い出→ゴーイングメリーフライパン→ちょっとした話,2020-12-11,https://omocoro.heteml.net/radio/kamamicu/l37/l37.mp3,https://omocoro.jp/radio/263839/
2657691,Kama Miku,【38】「エロ漫画の話をするよ」かまってみくのしんLove you,寒いね→M-1グランプリ楽しみだね→エロ漫画の話をするよ→明日の夜はリモート飲み会だ,2020-12-18,https://omocoro.heteml.net/radio/kamamicu/l38/l38.mp3,https://omocoro.jp/radio/265769/
2671071,Kama Miku,【39】「80歳になってから聴く音源」かまってみくのしんLove you,今日は調子がいい→靴を買ったんだけど→スシローの話→80歳になってから聴く音源,2020-12-25,https://omocoro.heteml.net/radio/kamamicu/l39/l39.mp3,https://omocoro.jp/radio/267107/
2683861,Kama Miku,【40】「忘年会の時の音源」かまってみくのしんLove you,ZOOMで慰労会をひらいた時に、ついでに録音していた音源です,2021-01-01,https://omocoro.heteml.net/radio/kamamicu/l40/l40.mp3,https://omocoro.jp/radio/268386/
2689081,Kama Miku,【41】「家にいたから褒めてほしい」かまってみくのしんLove you,みくコロ2021→正月何してた？→オンライン帰省したよ→また靴を買ったみくのしん→恋愛相談なんてやっちゃうんだから,2021-01-08,https://omocoro.heteml.net/radio/kamamicu/l41/l41.mp3,https://omocoro.jp/radio/268908/
2695501,Kama Miku,【42】「かまみくリモート」かまってみくのしんLove you,かまみくリモート再来！→記事の悪魔→オモコロ特集の裏話→ラベルレスのペットボトル→脂肪が燃える音がした,2021-01-15,https://omocoro.heteml.net/radio/kamamicu/l42/l42.mp3,https://omocoro.jp/radio/269550/
2700701,Kama Miku,【43】「ラジオ中に電話がかかってくるなんて」かまってみくのしんLove you,リモート〜〜〜〜〜,2021-01-22,https://omocoro.heteml.net/radio/kamamicu/l43/l43.mp3,https://omocoro.jp/radio/270070/
2712881,Kama Miku,【44】「検便の話でスタートを切ろう」かまってみくのしんLove you,リモート〜〜〜〜〜,2021-01-29,https://omocoro.heteml.net/radio/kamamicu/l44/l44.mp3,https://omocoro.jp/radio/271288/
