,channel,title,description,pub_date,mp3_url,episode_url
385255,Ari Ari,ありっちゃありスパーク・マシュ081「ドッキドキ！いる人たくさん読むメール」（2022年2月20日）,どじょう鍋、低さが面白い,2023-02-20,https://omocoro.heteml.net/radio/arimasyu/081/081mash.mp3,https://omocoro.jp/radio/385255/
384280,Ari Ari,ありっちゃありスパーク・マシュ080「あの事件・階段山の冒険」（2022年2月13日）,サウナの話はしないと誓ったのに…三田の「パラダイス」…,2023-02-13,https://omocoro.heteml.net/radio/arimasyu/080/080mash.mp3,https://omocoro.jp/radio/384280/
382807,Ari Ari,ありっちゃありスパーク・マシュ079「イベントアーカイブが日曜までなので」（2022年2月04日）,サンダーパレードよ、永遠に,2023-02-04,https://omocoro.heteml.net/radio/arimasyu/079/079mash.mp3,https://omocoro.jp/radio/382807/
381679,Ari Ari,ありっちゃありスパーク・マシュ078「【競馬】ありっちゃあり根岸ステークス」（2022年1月30日）,あなたはレモンポップを信じますか？,2023-01-30,https://omocoro.heteml.net/radio/arimasyu/078/078mash.mp3,https://omocoro.jp/radio/381679/
380012,Ari Ari,ありっちゃありスパーク・マシュ077「いちばん友達にしたいフルーツを考える会」（2022年1月23日）,あなたはバナナ？それともパイナップル？,2023-01-23,https://omocoro.heteml.net/radio/arimasyu/077/077mash.mp3,https://omocoro.jp/radio/380012/
379156,Ari Ari,ありっちゃありスパーク・マシュ076「ザヒ」（2022年1月16日）,博士ちゃんのエジプト回、良かったよね,2023-01-16,https://omocoro.heteml.net/radio/arimasyu/076/076mash.mp3,https://omocoro.jp/radio/379156/
377989,Ari Ari,ありっちゃありスパーク・マシュ075「ウンコの事件ByeByeBye」（2022年12月31日）,今年最後の汚い話と綺麗な音色。来年もよろしくお願いします！,2022-12-31,https://omocoro.heteml.net/radio/arimasyu/075/075mash.mp3,https://omocoro.jp/radio/377989/
377150,Ari Ari,ありっちゃありスパーク・マシュ074「M-1三連単予想を当てたと言い張る男」,ビタビタのビタ,2022-12-26,https://omocoro.heteml.net/radio/arimasyu/074/074mash.mp3,https://omocoro.jp/radio/377150/
376061,Ari Ari,ありっちゃありスパーク・マシュ073「ホットサンドレイディオ part-2」,挟んでいけよ、いけばわかるさ,2022-12-19,https://omocoro.heteml.net/radio/arimasyu/073/073mash.mp3,https://omocoro.jp/radio/376061/
374686,Ari Ari,ありっちゃありスパーク・マシュ072「絡まる善意の行く先を思うラジオ」,どうしてもこんがらがる俺たちの善意,2022-12-12,https://omocoro.heteml.net/radio/arimasyu/072/072mash.mp3,https://omocoro.jp/radio/374686/
373510,Ari Ari,ありっちゃありスパーク・マシュ071「娘、初めて海を買う」,子どもが初めて自分のお金で物を買うとき,2022-12-05,https://omocoro.heteml.net/radio/arimasyu/071/071mash.mp3,https://omocoro.jp/radio/373510/
372021,Ari Ari,ありっちゃありスパーク・マシュ070「旅行は内側にもある。VRファーストクラスでハワイへ」,VRで知らない国に行くのって結構アリかもな話,2022-11-28,https://omocoro.heteml.net/radio/arimasyu/070/070mash.mp3,https://omocoro.jp/radio/372021/
371064,Ari Ari,ありっちゃありスパーク・マシュ069「戸締まり、芹澤、羊郎（ひつじろう）」,芹澤の話に絶対なっちゃう映画,2022-11-21,https://omocoro.heteml.net/radio/arimasyu/069/069mash.mp3,https://omocoro.jp/radio/371064/
369973,Ari Ari,ありっちゃありスパーク・マシュ068「銀行の前を広げていけ」,妙に落ち着く、それが銀行の前,2022-11-14,https://omocoro.heteml.net/radio/arimasyu/068/068mash.mp3,https://omocoro.jp/radio/369973/
369475,Ari Ari,ありっちゃありスパーク・マシュ067「“嫌”を引き受けるのも親なんじゃないか説」,あの事件・うんこスペシャルとともに届ける教育論,2022-11-07,https://omocoro.heteml.net/radio/arimasyu/067/067mash.mp3,https://omocoro.jp/radio/369475/
369029,Ari Ari,ありっちゃありスパーク・マシュ066「音がいいありスパ。Cのイメージカラーは黄色」,すいません、緑ではありませんでした,2022-10-31,https://omocoro.heteml.net/radio/arimasyu/066/066mash.mp3,https://omocoro.jp/radio/369029/
368217,Ari Ari,ありっちゃありスパーク・マシュ065「幻のでっかいワセリン事件」,ダイソーなんでも売ってるな～,2022-10-24,https://omocoro.heteml.net/radio/arimasyu/065/065mash.mp3,https://omocoro.jp/radio/368217/
367571,Ari Ari,ありっちゃありスパーク・マシュ064「父よ、今度こそ全力でしっぽをとれ」,ジジイの円環構造に気が付きました,2022-10-17,https://omocoro.heteml.net/radio/arimasyu/064/064mash.mp3,https://omocoro.jp/radio/367571/
366038,Ari Ari,ありっちゃありスパーク・マシュ063「ありっちゃあり知らんスイーツ・カンノーロ編」,目をつけるのが早すぎてすいません,2022-10-10,https://omocoro.heteml.net/radio/arimasyu/063/063mash.mp3,https://omocoro.jp/radio/366038/
364882,Ari Ari,ありっちゃありスパーク・マシュ062「文学的あの事件集」,「山椒魚」に挟まれたコンドームの説明書,2022-10-03,https://omocoro.heteml.net/radio/arimasyu/062/062mash.mp3,https://omocoro.jp/radio/364882/
363419,Ari Ari,ありっちゃありスパーク・マシュ061「室木おすしの伊豆・下田旅行良かったとこ悪かったとこランキングBEST3」,人はなぜ、ランキングに惹きつけられてしまうのか,2022-09-26,https://omocoro.heteml.net/radio/arimasyu/061/061mash.mp3,https://omocoro.jp/radio/363419/
362809,Ari Ari,ありっちゃありスパーク・マシュ060「1300年持ち歩かれた石&いる人スペシャル」,もっと遅くできないものか,2022-09-19,https://omocoro.heteml.net/radio/arimasyu/060/060mash.mp3,https://omocoro.jp/radio/362809/
